benchmark,requirement,expected,actual,requirement_status,gate1_current_status,evidence,source_file
ma2005_wigley_iii_coefficients,projection_transport_audit,"time-pressure projection transport derivative, direct Eq.31 gradient, endpoint jump, and Eq.32 Stokes+end routes are compared before any transport proxy changes the default",same_frequency=4/8; max_G_T_norm=0.29903; max_T_endpoint_norm=0.264265; max_G_SE_norm=0.935589; max_T_SE_norm=0.916519; conclusions=direct_gradient_matches_projection_transport:1;projection_transport_difference_biased_to_aft_startup_region:2;projection_transport_difference_distributed_along_station_sweep:1;projection_transport_weakened_by_ab_frequency_gap:4,PASS,PENDING,"diagnostic-only audit reconstructs rho*int(phi_j*N_i ds) from the time-pressure term, differentiates it along x, and compares that transport derivative with direct pressure-gradient, endpoint projection jump, and Eq.32 Stokes body plus end contour.",ma2005_wigley_iii_coefficients_projection_transport_summary.csv
ma2005_wigley_iii_coefficients,geometry_transport_balance_audit,inferred changing-section projection transport is compared with the Eq.32-required geometry balance before any correction enters the default,same_frequency=4/8; pass=1; fail=3; opposite_sign=0; wrong_magnitude=3; max_norm=0.755838; max_abs_inferred=7.81969; max_abs_required=19.659; conclusion=same_frequency_geometry_transport_balance_does_not_close,PASS,PENDING,"diagnostic-only audit compares inferred=T-G against required=(Stokes+end)-G, exposing whether changing-section transport has the right sign and magnitude to explain the Eq.31/Eq.32 forward-speed identity gap.",ma2005_wigley_iii_coefficients_geometry_transport_balance_summary.csv
ma2005_wigley_iii_coefficients,eq30_component_contribution_audit,time/gradient/Stokes/end contribution dominance and required diagnostic scales are reported,"pass=0/8; max_gate=1729.52; max_closure=4.17603e-15; dominant_current=forward_speed_pressure_gradient:6;time_derivative_pressure:2; failure_sources=forward_speed_pressure_gradient_station_mapping:6;time_derivative_body_potential_scale:2; conclusion=Gate 1 remains PENDING: time-derivative body-potential scale dominates A33/A53, while forward-speed pressure-gradient/station mapping dominates most remaining failed damping/coupling rows.",PASS,PENDING,component-level audit records four pressure/forward-speed contribution families and keeps single-component inverse scales diagnostic-only,ma2005_wigley_iii_coefficients_eq30_component_contribution_summary.csv
ma2005_wigley_iii_coefficients,station_mapping_gradient_audit,forward-gradient-dominant failures are checked against adjacent station/body/geometry mapping jumps,"forward_gradient_failures=6; high_mapping_risk=6; peak_near_aft_startup=8; max_body_jump=0.742956; max_panel_y_jump=0.48514; max_beam_jump=0.486842; max_gradient_gain_L=47.9484; conclusion=Forward-gradient-dominant failures coincide with large body-potential, panel, or station-geometry jumps at the pressure-gradient peak.",PASS,PENDING,"diagnostic-only audit links Eq.30 forward-speed pressure-gradient peaks to station-to-station body-potential jumps, panel geometry jumps, hull-section geometry jumps, and dphi/dx gain.",ma2005_wigley_iii_coefficients_station_mapping_gradient_summary.csv
ma2005_wigley_iii_coefficients,station_marching_direction_audit,A1 local-time station marching direction is checked against solve_order and pressure-gradient peak location,"a1_match=8/8; mismatch=0; aft_peak=8; bow_start_peak=0; march_start_peak=0; first_x_over_l_range=[0.975, 0.975]; last_x_over_l_range=[0.025, 0.025]; conclusion=a1_bow_to_aft_marching_confirmed_aft_terminal_gradient_peak_remains",PASS,PENDING,"diagnostic-only audit distinguishes storage order, A1 bow-to-aft local-time marching, and aft/bow pressure-gradient peaks before any station-order or endpoint correction can alter the default route.",ma2005_wigley_iii_coefficients_station_marching_direction_summary.csv
ma2005_wigley_iii_coefficients,aft_terminal_end_closure_audit,aft-terminal residual share and required end-contour scale are reported before endpoint fixes enter the default,"finite_end_scale=6/8; scale_abs_range=[2.45965, 2.77206]; scale_abs_spread=1.12701; terminal_10pct_high_share=0/8; terminal_10pct_share_range=[0, 0.571398]; end_endpoint_ratio_range=[1.30761, 1.33896]; decisions=end_scale_not_evaluable:2;finite_required_end_scale_but_needs_shared_trace:6; conclusion=end_scale_not_finite_for_all_rows_terminal_band_not_sufficient",PASS,PENDING,diagnostic-only audit tests whether the Eq.31/Eq.32 forward-speed residual is confined to the aft terminal band and whether a shared formula-derived end-contour scale could close it.,ma2005_wigley_iii_coefficients_aft_terminal_end_closure_summary.csv
ma2005_wigley_iii_coefficients,stokes_end_lever_consistency_audit,Eq.32 Stokes/end/lever consistency is reported and kept diagnostic-only unless the forward identity closes,"identity_pass=2/8; identity_fail=6; heave_m3_zero_pass=4/4; end_lever_pass=8/8; max_identity_residual_over_tol=832.128; end_ratio_abs_range=[1.30761, 1.33896]; conclusion=eq31_eq32_stokes_end_identity_not_closed",PASS,PENDING,"diagnostic-only audit verifies m_i row expectations, end-contour lever consistency, endpoint ratio behavior, and Eq.31/Eq.32 forward-speed identity residuals before any Stokes/end route can alter the default.",ma2005_wigley_iii_coefficients_stokes_end_lever_consistency_summary.csv
ma2005_wigley_iii_coefficients,free_surface_marching_time_step_exclusion,free-surface marching/time-step candidates cannot replace the default unless all Wigley III rows pass,best=free_surface_marching_disabled; time_step_scale=1; use_marching=False; velocity_scale=1; history_rhs_scale=1; pass=2/8; max_gate=14.5839; median_gate=3.27689; improved=8; worsened=0; best_time_step=free_surface_time_step_quarter; time_step_scale=0.25; pass=0/8; max_gate=84.328; median_gate=11.1358,PASS,PENDING,free_surface_marching_candidates_excluded_because_full_gate_not_passed,ma2005_wigley_iii_coefficients_free_surface_marching_candidate_summary.csv
ma2005_wigley_iii_coefficients,station_forward_identity_localization,station-wise Eq.31/Eq.32 forward identity residual is localized and closes against the reported whole-ship residual,worst_coefficient=B33; peak_station=1; peak_x_over_l=0.05; peak_share=0.298096; first_share=0.095025; configured_end_share=0.095025; centroid_x_over_l=0.170492; conclusion=residual_distributed_along_station_sweep; max_station_integral_closure=7.10543e-15,PASS,PENDING,station residuals are diagnostic-only and must not change the default route; they localize the Eq.30/Eq.32 mismatch by station and endpoint contribution,ma2005_wigley_iii_coefficients_station_forward_identity_summary.csv
ma2005_wigley_iii_coefficients,section_force_derivative_path_localization,A/B reconstructed section-force derivative path is reported when coefficient pairs are available,worst_coefficient=B33; matrix_cell=33; gradient_integral=75.2448; derivative_proxy_integral=38.8035; difference_integral=36.4413; peak_station=1; peak_x_over_l=0.05; centroid_x_over_l=0.127321; conclusion=difference_biased_to_aft_startup_region; max_station_integral_closure=1.42109e-14,PASS,PENDING,diagnostic-only check comparing Eq.30 pressure-gradient density with U/(-i omega) times the longitudinal derivative of reconstructed time-pressure station-force density,ma2005_wigley_iii_coefficients_section_force_derivative_summary.csv
ma2005_wigley_iii_coefficients,failure_source_identified,every failing row has a classified source and blocker,"forward_speed_pressure_gradient_station_mapping,heave_time_derivative_body_potential_scale",PASS,PENDING,failure classifications are written per coefficient,ma2005_wigley_iii_coefficients_gate1_failure_audit.csv
ma2005_wigley_iii_coefficients,sl7_c1_data_discipline,SL-7 and C1 trimaran not used as hard Gate 1 targets without real offsets,surrogate/not-evaluated until machine-readable offsets are supplied,PASS,PENDING,Gate 1 is scoped to Wigley III; SL-7/C1 remain data-limited,docs/next_phase_gate1_goal_acceptance_20260801.md
