a1_inner_candidate_name,a1_inner_candidate_status,a1_inner_green_identity_status,a1_inner_green_identity_validity_status,a1_inner_changed_eq23_terms,a1_inner_hypothesis,geometry_name,potential_name,panel_count,semiaxis_y_m,semiaxis_z_m,inner_a_scale,inner_b_scale,inner_diagonal_sign,residual_norm,relative_residual,max_abs_residual,phi_norm,phi_n_norm,a_phi_norm,b_phi_n_norm,relative_tolerance,diagnostic_status,gate_role,is_hard_gate
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_z,32,1.0,0.5,1.0,0.15915494309189535,-1.0,7.170849867712675,0.8453877251835841,1.798540238528283,4.057286107831991,4.618802260814423,8.482320779090394,1.3128751045341935,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,linear_z,32,1.0,0.5,1.0,1.0,1.0,25.11046146461689,1.1275140557793113,6.96555155716931,4.057286107831991,4.618802260814423,22.270641626069246,8.249037566971108,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,linear_z,32,1.0,0.5,-1.0,1.0,-1.0,16.727576945317153,1.9720519160925842,4.177507600642138,4.057286107831991,4.618802260814423,8.482320779090394,8.249037566971108,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,linear_z,32,1.0,0.5,1.0,-1.0,-1.0,16.727576945317153,1.9720519160925842,4.177507600642138,4.057286107831991,4.618802260814423,8.482320779090394,8.249037566971108,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,quadratic_y2_minus_z2,32,1.0,0.5,1.0,1.0,-1.0,0.47658418996490676,0.03724266793915751,0.148588266415544,3.511733119607662,8.279328912546921,12.79672527068929,12.365285676924366,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,quadratic_y2_minus_z2,32,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.07585072963236172,0.02159922951116397,0.023648557085489297,3.511733119607662,8.279328912546921,2.036662082219173,1.9679963382259258,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,quadratic_y2_minus_z2,32,1.0,0.5,0.15915494309189535,1.0,-1.0,10.328939417914448,0.8353174918708048,3.546308285241881,3.511733119607662,8.279328912546921,2.036662082219173,12.365285676924366,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,quadratic_y2_minus_z2,32,1.0,0.5,1.0,0.15915494309189535,-1.0,10.829030170362222,0.8462344811891801,3.676544583985013,3.511733119607662,8.279328912546921,12.79672527068929,1.9679963382259258,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,quadratic_y2_minus_z2,32,1.0,0.5,1.0,1.0,1.0,21.62039804361654,1.7484754180781863,7.712251569711097,3.511733119607662,8.279328912546921,9.810456839911675,12.365285676924366,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,quadratic_y2_minus_z2,32,1.0,0.5,-1.0,1.0,-1.0,25.161196365848205,1.9662215007053057,8.589992662603326,3.511733119607662,8.279328912546921,12.79672527068929,12.365285676924366,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,quadratic_y2_minus_z2,32,1.0,0.5,1.0,-1.0,-1.0,25.161196365848205,1.9662215007053057,8.589992662603326,3.511733119607662,8.279328912546921,12.79672527068929,12.365285676924366,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,cross_yz,32,1.0,0.5,1.0,1.0,-1.0,0.3868446310797616,0.05888938778407524,0.1333583878899216,2.6778408434829766,3.895000769383552,6.569004121730256,6.205002978180875,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,cross_yz,32,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.061568235244904804,0.022991745530636203,0.02122464663544732,2.6778408434829766,3.895000769383552,1.045489477164405,0.9875568958774184,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,cross_yz,32,1.0,0.5,0.15915494309189535,1.0,-1.0,5.159778036173994,0.8315512586082092,1.539913332154155,2.6778408434829766,3.895000769383552,1.045489477164405,6.205002978180875,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,cross_yz,32,1.0,0.5,1.0,0.15915494309189535,-1.0,5.58169176418697,0.8497013642787561,1.6604343960481986,2.6778408434829766,3.895000769383552,6.569004121730256,0.9875568958774184,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,cross_yz,32,1.0,0.5,1.0,1.0,1.0,16.458061887449134,1.5745157563851964,4.636168307137924,2.6778408434829766,3.895000769383552,10.452776874862066,6.205002978180875,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,cross_yz,32,1.0,0.5,-1.0,1.0,-1.0,12.773335721435103,1.9444858740735034,3.8061087496553094,2.6778408434829766,3.895000769383552,6.569004121730256,6.205002978180875,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,cross_yz,32,1.0,0.5,1.0,-1.0,-1.0,12.773335721435103,1.9444858740735034,3.8061087496553094,2.6778408434829766,3.895000769383552,6.569004121730256,6.205002978180875,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,linear_y,64,1.0,0.5,1.0,1.0,-1.0,0.41718585828835164,0.03419709470457836,0.10191260216935882,5.65004032080791,4.618802153517001,12.19945325450405,11.80261635923865,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,linear_y,64,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.06639719153462618,0.01175163145121271,0.016219894398611268,5.65004032080791,4.618802153517001,1.9416032884728296,1.8784447349901003,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_y,64,1.0,0.5,0.15915494309189535,1.0,-1.0,9.861146744008991,0.8355051493552996,1.7360291627145785,5.65004032080791,4.618802153517001,1.9416032884728296,11.80261635923865,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_y,64,1.0,0.5,1.0,0.15915494309189535,-1.0,10.321136235170249,0.8460326885026322,1.8541616592825467,5.65004032080791,4.618802153517001,12.19945325450405,1.8784447349901003,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,linear_y,64,1.0,0.5,1.0,1.0,1.0,35.104359023260365,1.5065041894143982,6.16614507769858,5.65004032080791,4.618802153517001,23.301866181272274,11.80261635923865,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,linear_y,64,1.0,0.5,-1.0,1.0,-1.0,24.001724546874513,1.9674426423998184,4.2697412472146965,5.65004032080791,4.618802153517001,12.19945325450405,11.80261635923865,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,linear_y,64,1.0,0.5,1.0,-1.0,-1.0,24.001724546874513,1.9674426423998184,4.2697412472146965,5.65004032080791,4.618802153517001,12.19945325450405,11.80261635923865,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,linear_z,64,1.0,0.5,1.0,1.0,-1.0,0.31306062939227186,0.026238666441317626,0.06477348131530603,5.742885938854156,6.531972647421812,11.931270596103927,11.76230228512209,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,linear_z,64,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.04982514665523982,0.008675977058527674,0.010309019732601475,5.742885938854156,6.531972647421812,1.8989206927369247,1.8720285508182766,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_z,64,1.0,0.5,0.15915494309189535,1.0,-1.0,9.863941950811311,0.8386063979403099,1.7444417277826179,5.742885938854156,6.531972647421812,1.8989206927369247,11.76230228512209,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_z,64,1.0,0.5,1.0,0.15915494309189535,-1.0,10.05979149374456,0.8431450290826121,1.7853157387104588,5.742885938854156,6.531972647421812,11.931270596103927,1.8720285508182766,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,linear_z,64,1.0,0.5,1.0,1.0,1.0,35.799324224735905,1.128533648191464,7.021967836418376,5.742885938854156,6.531972647421812,31.721982133280875,11.76230228512209,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,linear_z,64,1.0,0.5,-1.0,1.0,-1.0,23.69210710786209,1.9857153449858544,4.192644456532261,5.742885938854156,6.531972647421812,11.931270596103927,11.76230228512209,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,linear_z,64,1.0,0.5,1.0,-1.0,-1.0,23.69210710786209,1.9857153449858544,4.192644456532261,5.742885938854156,6.531972647421812,11.931270596103927,11.76230228512209,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,quadratic_y2_minus_z2,64,1.0,0.5,1.0,1.0,-1.0,0.35048067280453343,0.019498588201244556,0.07645238033718149,4.992721600686261,11.730582596762002,17.97466920103287,17.656948717778818,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,quadratic_y2_minus_z2,64,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.05578073153501483,0.011172409758907374,0.012167774241803986,4.992721600686261,11.730582596762002,2.8607574537860305,2.8101906683546023,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,quadratic_y2_minus_z2,64,1.0,0.5,0.15915494309189535,1.0,-1.0,14.796308995336322,0.8379878784174011,3.619626035521147,4.992721600686261,11.730582596762002,2.8607574537860305,17.656948717778818,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,quadratic_y2_minus_z2,64,1.0,0.5,1.0,0.15915494309189535,-1.0,15.164593404799025,0.8436646725007673,3.688840772099491,4.992721600686261,11.730582596762002,17.97466920103287,2.8101906683546023,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,quadratic_y2_minus_z2,64,1.0,0.5,1.0,1.0,1.0,31.04156257486253,1.7580366274500598,7.860344347710738,4.992721600686261,11.730582596762002,14.168872543891947,17.656948717778818,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,quadratic_y2_minus_z2,64,1.0,0.5,-1.0,1.0,-1.0,35.631310740915104,1.9823068976906477,8.691811585947605,4.992721600686261,11.730582596762002,17.97466920103287,17.656948717778818,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
